Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,most exclusive watch brands,luxury watch,,,,luxury watches,70,27,0.54,0.90,179,Informational,"Image, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Video","0.41,0.41,0.64,0.52,0.41,0.41,0.41,0.41,0.64,0.41,0.41,0.52",20,,
us,new luxury watch brands,luxury watch,,,,luxury watches,40,22,1.39,1.00,162,"Informational, Commercial","Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video, Image","0.33,0.22,0.22,0.77,0.33,0.55,0.55,0.44,0.33,0.33,0.55,0.33",20,,
us,watch luxury brand 2019 silver,luxury watch,,,,luxury watches,70,22,0.00,0.33,43400000,"Informational, Commercial","Related Searches, AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Popular Products","0.11,0.42,0.53,1.00,1.00,0.26,0.07,0.07,0.07,0.07,0.11,0.07",20,,
us,ad luxury watches,luxury watch,,,,luxury watches,50,24,0.00,0.01,163,"Informational, Commercial","Site Links, Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches","0.14,0.14,0.14,0.14,0.14,0.78,0.14,1.00,0.78,0.14,0.78,0.78",20,,
us,cheap luxury watches brands,luxury watch,,,,luxury watches,90,25,0.82,0.91,174,"Informational, Commercial","People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Video, Image, Video Carousel","0.78,1.00,0.64,0.78,0.50,0.50,0.64,0.78,0.50,0.64,0.64,0.78",20,,
us,designer watches on sale,luxury watch,,,,luxury watches,70,25,0.39,1.00,186,Transactional,"Related Searches, Site Links, Reviews, Video, Popular Products","0.28,0.28,0.23,0.07,0.28,0.10,0.17,0.23,0.10,0.12,0.02,0.17",20,,
us,swiss watch prices,luxury watch,,,,luxury watches,50,15,0.65,1.00,180,Transactional,"People Also Ask, Popular Products, Related Searches, AI Overview, Site Links, Video, Video Carousel","0.07,0.15,0.19,1.00,0.19,0.19,0.34,0.19,0.00,0.15,0.00,0.07",20,,
us,swiss made watches price,luxury watch,,,,luxury watches,90,22,0.65,1.00,173,Transactional,"Popular Products, Related Searches, Site Links, Video, Video Carousel, People Also Ask","0.82,0.64,0.41,0.82,0.52,0.82,0.23,0.23,0.82,0.64,0.82,0.41",20,,
us,swiss watch cost,luxury watch,,,,luxury watches,90,21,0.65,1.00,154000000,"Informational, Commercial","Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Site Links, Video","1.00,0.35,0.35,1.00,0.64,1.00,0.64,0.78,0.64,0.50,0.78,0.64",20,,
us,mens swiss watch sale,luxury watch,,,,luxury watches,40,25,0.48,1.00,170,Transactional,"Site Links, Video, People Also Ask, Related Searches","0.09,0.52,0.09,0.09,0.09,0.09,0.52,0.09,0.09,0.09,0.09,0.09",20,,
us,watch brand with c,luxury watch,,,,luxury watches,50,29,2.04,0.86,159,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.77,0.77,0.11,0.77,0.77,1.00,0.55,0.77,0.77,0.77,0.55,0.77",20,,
us,audemars piguet edward piguet,luxury watch,,,,luxury watches,90,16,1.01,1.00,169,"Informational, Transactional","Related Searches, Knowledge Panel, Site Links, Video, Image, Video Carousel, Popular Products","0.41,0.64,0.52,0.52,0.64,0.52,0.64,0.82,1.00,0.41,0.52,0.52",20,,
us,luxury watch logo,luxury watch,,,,luxury watches,50,18,0.00,0.01,178,"Informational, Commercial","Image, People Also Ask, Related Searches, Image Pack, Video","0.28,0.00,0.78,0.50,0.50,0.78,0.00,0.14,0.14,0.00,0.07,0.00",90,,
us,swiss wrist watch,luxury watch,,,,luxury watches,30,15,0.73,0.99,180,"Informational, Commercial","Video, Image, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links","0.45,0.09,0.36,0.09,0.27,0.09,0.00,0.09,0.18,0.45,0.36,0.36",20,,
us,watch brands swiss,luxury watch,,,,luxury watches,70,28,0.73,0.87,156,"Informational, Commercial","Site Links, Video, Image, People Also Ask, Related Searches, AI Overview","0.06,0.30,0.03,0.01,0.01,0.00,0.01,0.03,0.01,0.00,0.00,0.01",20,,
us,watches for sales,luxury watch,,,,luxury watches,70,29,0.40,1.00,200,Transactional,"Site Links, Video, Popular Products, Related Searches","0.01,0.03,0.28,0.06,0.00,0.00,1.00,0.01,0.01,0.00,0.03,0.00",20,,
us,how to buy a watch,luxury watch,,,,luxury watches,50,23,1.02,0.95,186,Informational,"People Also Ask, Related Searches, Short Videos, AI Overview, Site Links, Video, Video Carousel","0.17,0.52,1.00,0.17,0.17,0.17,0.11,0.17,0.17,0.17,0.11,0.23",20,,
us,what watches are made in switzerland,luxury watch,,,,luxury watches,40,27,0.73,0.36,46800000,Informational,"AI Overview, Site Links, Video, People Also Ask, Related Searches, Discussions And Forums","0.23,0.11,0.23,0.64,0.11,0.11,0.11,0.11,0.41,0.29,0.23,0.11",20,,
us,buying a watch,luxury watch,,,,luxury watches,40,29,0.99,1.00,194,Transactional,"Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Local Pack, Video","0.02,0.05,0.07,0.02,0.02,0.05,0.05,0.00,0.53,0.53,0.05,0.00",90,,
us,classic swiss watch,luxury watch,,,,luxury watches,50,25,0.74,1.00,192,"Informational, Commercial","Related Searches, AI Overview, Site Links, Video, People Also Ask","0.14,0.78,0.14,0.14,0.14,0.78,0.78,1.00,0.14,0.14,0.14,0.14",20,,
us,montres rolex sa,luxury watch,,,,luxury watches,50,29,1.61,0.69,202,Informational,"People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Video, Image","0.50,0.21,0.78,0.50,0.50,0.50,0.14,0.14,0.14,0.14,0.14,0.14",20,,
us,swiss luxury brands,luxury watch,,,,luxury watches,90,28,0.00,0.29,154,Informational,"Video, People Also Ask, Related Searches, AI Overview","0.63,1.00,1.00,0.81,0.81,0.63,0.63,0.81,0.81,1.00,1.00,1.00",90,,
us,swiss watch brans,luxury watch,,,,luxury watches,50,27,0.84,1.00,170,Informational,"AI Overview, Video, Image, People Also Ask, Popular Products, Related Searches","0.00,0.10,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,,
us,best watch shop near me,luxury watch,,,,luxury watches,90,24,1.14,1.00,2650000000,Transactional,"Video, People Also Ask, Related Searches, Local Pack, Site Links","1.00,0.52,0.66,0.33,0.66,0.23,0.19,0.42,0.42,0.42,0.52,0.42",20,,
us,omega watches macy's,luxury watch,,,,luxury watches,50,16,0.35,1.00,139,Transactional,"Site Links, Image, People Also Ask, Related Searches","0.02,0.07,0.05,0.04,0.03,0.01,0.12,0.07,0.15,0.07,0.04,0.05",20,,
us,automatic watch brand,luxury watch,,,,luxury watches,40,19,0.52,1.00,160,"Informational, Commercial","Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video","0.00,1.00,0.05,0.11,0.05,0.17,0.11,0.17,0.00,0.00,0.00,0.11",20,,
us,jaeger lecoultre chicago,luxury watch,,,,luxury watches,70,18,1.20,0.94,144,"Informational, Transactional","Knowledge Panel, Site Links, Video, People Also Ask, Related Searches","0.33,0.52,0.52,0.33,0.33,0.33,0.42,0.33,0.23,0.33,0.33,0.52",20,,
us,swatch rolex,luxury watch,,,,luxury watches,70,17,0.76,1.00,185,"Informational, Commercial","Short Videos, AI Overview, Site Links, Video, Video Carousel, Popular Products, Related Searches","0.12,0.10,0.07,0.12,1.00,0.00,0.07,0.02,0.17,0.23,0.07,0.07",20,,
us,200000 watch,luxury watch,,,,luxury watches,30,15,1.20,1.00,158,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Site Links, Video, Video Carousel","0.50,0.50,0.14,0.14,0.14,0.14,0.14,0.14,0.78,0.14,0.14,0.14",20,,
us,grey market watches websites,luxury watch,,,,luxury watches,70,24,0.38,1.00,50700000,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Image, Video Carousel, Related Searches","0.50,0.50,0.35,0.50,0.50,0.50,0.78,1.00,1.00,0.78,0.78,1.00",20,,
us,rolex mall of america,luxury watch,,,,luxury watches,70,18,1.89,0.48,181,"Informational, Transactional","Video, People Also Ask, Related Searches, Knowledge Panel","0.45,1.00,0.45,1.00,0.63,0.63,0.45,0.63,0.36,0.45,0.36,0.36",70,,
us,mechanical swiss watch,luxury watch,,,,luxury watches,70,17,0.53,0.34,178,"Informational, Commercial","Site Links, Video, People Also Ask, Popular Products, Related Searches, Discussions And Forums, AI Overview","0.12,0.00,0.81,0.12,0.21,0.03,0.03,0.06,0.00,0.00,1.00,0.03",20,,
us,sale for watches,luxury watch,,,,luxury watches,50,26,0.46,1.00,198,Transactional,"Popular Products, Related Searches, Local Pack, Site Links, Video, People Also Ask","0.02,0.00,0.02,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
us,watch brand starts with s,luxury watch,,,,luxury watches,40,25,0.79,0.49,126,Informational,"Image Pack, Site Links, Video, People Also Ask, Related Searches, AI Overview","0.27,0.36,0.36,0.27,0.36,0.18,1.00,0.45,0.63,0.09,0.09,0.09",20,,
us,longines houston,luxury watch,,,,luxury watches,50,20,0.60,1.00,162,"Informational, Transactional","Knowledge Panel, Site Links, Reviews, People Also Ask, Related Searches","0.21,0.78,0.35,0.50,0.35,0.14,0.14,0.50,0.50,0.14,0.78,1.00",20,,
us,178 million dollar watch,luxury watch,,,,luxury watches,40,22,0.00,0.33,143,Informational,"Site Links, Video, People Also Ask, Related Searches, Short Videos, AI Overview","0.02,0.05,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.11,0.02,0.02",20,,
us,discount watches online,luxury watch,,,,luxury watches,50,22,0.55,1.00,171,"Informational, Commercial","Popular Products, Related Searches, AI Overview, Site Links, Video","0.17,0.28,0.12,0.12,0.07,0.12,0.12,0.10,0.05,0.12,0.17,0.17",20,,
us,major watch,luxury watch,,,,luxury watches,70,20,1.65,0.87,178,Informational,"Image, People Also Ask, Related Searches, Image Pack, Site Links, Video","0.05,0.05,0.03,0.01,0.01,0.08,0.08,0.13,0.08,0.01,0.01,0.01",20,,
us,style & co watch price,luxury watch,,,,luxury watches,90,20,0.00,0.78,1300000000,Transactional,"Image Pack, Site Links, Image, People Also Ask, Popular Products, Related Searches","1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.63,0.63,0.81,1.00",20,,
us,where to buy watches cheap,luxury watch,,,,luxury watches,90,26,0.39,0.99,174,Transactional,"Related Searches, Discussions And Forums, Local Pack, Site Links, Video, People Also Ask, Popular Products","0.64,0.50,0.78,0.78,0.50,0.50,0.35,0.35,0.35,0.28,0.64,0.64",20,,
us,alyx audemars piguet,luxury watch,,,,luxury watches,40,24,0.00,0.92,355000,"Informational, Transactional","Discussions And Forums, Image Pack, Site Links, Video, Image, Popular Products, Related Searches","0.11,0.15,0.15,0.11,0.07,0.07,0.19,0.11,0.19,0.11,0.11,0.15",20,,
us,audemars piguet alyx,luxury watch,,,,luxury watches,40,21,0.00,1.00,162,"Informational, Commercial","Site Links, Video, Image, Video Carousel, Related Searches, Image Pack","0.15,0.21,0.09,0.12,0.06,0.06,0.15,0.06,0.06,0.21,0.21,0.21",20,,
us,ladies and gents watches,luxury watch,,,,luxury watches,90,18,0.76,1.00,199,Informational,"Video, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links","1.00,0.80,0.33,0.42,0.66,0.04,0.04,0.66,0.00,0.33,0.00,0.00",20,,
us,omega authorized dealer chicago,luxury watch,,,,luxury watches,30,18,2.40,1.00,353000,Informational,"Knowledge Panel, Site Links, Image, People Also Ask, Related Searches","0.18,0.27,0.27,0.36,0.18,0.27,0.18,0.18,0.18,0.18,0.18,0.18",20,,
us,rolex already late,luxury watch,,,,luxury watches,40,17,1.98,1.00,232,"Informational, Commercial","Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches, Short Videos","0.14,0.14,0.14,0.14,0.14,0.14,0.78,1.00,0.14,0.14,0.14,0.14",20,,
us,rolex china website,luxury watch,,,,luxury watches,90,16,1.28,1.00,127,Informational,"Site Links, People Also Ask, Related Searches, AI Overview","0.52,0.33,0.23,0.33,0.23,0.33,0.80,1.00,1.00,0.80,0.66,0.66",20,,
us,tag heuer outlet near me,luxury watch,,,,luxury watches,70,29,1.22,1.00,131,"Informational, Transactional","People Also Ask, Related Searches, AI Overview, Local Pack, Site Links, Video","0.64,0.64,0.23,0.52,0.41,0.41,0.64,0.41,0.29,0.29,0.41,0.41",20,,
us,automatic watches on sale,luxury watch,,,,luxury watches,40,21,0.28,1.00,190,Transactional,"AI Overview, Site Links, Video, Related Searches","0.22,0.22,0.33,0.55,0.77,0.33,0.77,1.00,0.22,0.11,0.11,0.11",20,,
us,bentley breitling clock,luxury watch,,,,luxury watches,70,26,0.00,0.42,171,"Informational, Commercial","Related Searches, AI Overview, Site Links, Video, Image, People Also Ask","0.33,0.33,1.00,0.42,0.33,0.23,0.23,0.19,0.42,0.14,0.19,0.09",20,,
us,black geneva watch,luxury watch,,,,luxury watches,50,20,0.00,0.90,252,Informational,"Site Links, Video, People Also Ask, Popular Products, Related Searches, Image Pack","0.00,0.35,0.50,1.00,0.28,0.21,0.35,0.35,0.50,0.21,0.28,0.50",20,,
us,cheap watches for sale,luxury watch,,,,luxury watches,50,22,0.36,0.99,175,Transactional,"Related Searches, Local Pack, Site Links, Video, Video Carousel, People Also Ask","0.11,0.08,0.18,0.08,0.03,0.03,0.05,0.05,0.03,0.18,0.18,0.11",20,,
us,europe watch,luxury watch,,,,luxury watches,70,25,1.17,0.55,178,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links, Video","0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.24",20,,
us,express mens watches,luxury watch,,,,luxury watches,90,24,0.56,1.00,169,"Navigational, Transactional","Local Pack, Site Links, Video, Related Searches","0.05,0.29,0.41,0.41,0.29,0.29,1.00,0.64,1.00,0.82,0.17,0.11",20,,
us,omega watch repair seattle,luxury watch,,,,luxury watches,40,22,1.50,0.34,154,Informational,"Knowledge Panel, Site Links, People Also Ask, Related Searches, Discussions And Forums","0.18,0.18,0.27,1.00,1.00,0.18,0.27,0.27,0.27,0.27,0.18,0.18",20,,
us,watch store discount,luxury watch,,,,luxury watches,40,22,0.47,0.82,183,"Informational, Commercial","Video, AI Overview, Site Links","0.63,1.00,0.00,0.00,0.09,0.00,1.00,0.00,0.63,0.00,0.00,0.00",20,,
us,bigwatch,luxury watch,,,,luxury watches,50,23,1.42,0.75,109,Informational,"Site Links, Video, Video Carousel, Related Searches","0.00,0.00,0.00,0.00,0.02,0.00,0.81,0.00,0.00,0.18,0.00,0.00",20,,
us,wall street journal watches,luxury watch,,,,luxury watches,70,25,0.00,0.28,124,"Informational, Transactional","Video, People Also Ask, Related Searches, Image Pack, Site Links","0.12,0.07,0.12,0.28,0.35,0.17,0.12,0.17,0.12,0.05,0.05,0.28",20,,
us,watches categories luxury,luxury watch,,,,luxury watches,40,19,0.00,0.30,184,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, AI Overview, Image Pack","0.21,0.21,0.14,0.14,0.00,0.14,0.78,1.00,0.00,0.14,0.14,0.14",20,,
us,men gold rolex watch,luxury watch,,,,rolex watches,70,22,1.52,1.00,199,Transactional,"Popular Products, Related Searches, Image Pack, Site Links, Video, People Also Ask","0.34,0.11,0.03,0.11,0.11,0.34,0.26,0.03,0.26,0.00,0.11,1.00",20,,
us,rolex mens sports watch,luxury watch,,,,rolex watches,90,24,1.83,1.00,180,Transactional,"Image, Video Carousel, Popular Products, Related Searches, Site Links, Video","0.52,0.66,0.52,0.33,0.33,0.33,0.33,0.33,0.23,0.33,0.23,0.33",20,,
us,men's rolex watch gold,luxury watch,,,,rolex watches,90,23,1.84,1.00,199,Transactional,"Video, People Also Ask, Related Searches, Image Pack, Site Links","0.05,0.02,0.04,0.00,0.02,0.02,0.00,0.03,0.08,0.08,0.01,0.20",20,,
us,rolex quartz ladies watch,luxury watch,,,,rolex watches,70,17,1.36,0.95,7550000,"Informational, Commercial","Popular Products, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask","0.14,0.18,0.14,0.10,0.10,0.10,0.04,0.06,0.04,0.08,0.22,0.04",20,,
us,gold rolex watch for sale,luxury watch,,,,rolex watches,50,19,0.31,1.00,194,Transactional,"Site Links, Video, Related Searches, AI Overview, Image Pack","0.19,0.23,0.23,0.19,0.23,0.33,0.23,0.33,0.09,1.00,0.23,0.23",20,,
us,price of gold rolex watch,luxury watch,,,,rolex watches,50,17,2.05,0.88,174,Transactional,"Video, Image, Video Carousel, People Also Ask, Image Pack, Site Links, Adwords Bottom, Popular Products, Related Searches, Reviews","0.36,0.45,0.45,0.45,0.45,1.00,0.63,0.63,0.63,0.27,0.45,0.63",20,,
us,rolex collections,luxury watch,,,,rolex watches,50,24,1.76,0.63,182,"Informational, Commercial","Site Links, Video, Image, Video Carousel, Related Searches, Image Pack","0.06,0.04,0.04,0.04,0.06,0.43,0.06,0.22,0.02,0.02,0.02,0.06",20,,
us,rolex gold women's watch,luxury watch,,,,rolex watches,50,19,1.85,1.00,186,Transactional,"Image, Related Searches, Image Pack, Site Links, Video","0.07,0.03,1.00,0.19,0.26,0.03,0.15,0.15,0.00,0.03,0.19,0.07",20,,
us,rolex watches for me,luxury watch,,,,rolex watches,70,27,1.91,1.00,207,"Informational, Transactional","Image, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links, Video","0.81,0.81,0.09,0.81,0.63,1.00,0.81,0.63,0.63,0.63,0.45,0.45",20,,
us,big face rolex watch,luxury watch,,,,rolex watches,40,16,1.45,1.00,163,"Informational, Commercial","Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video","0.05,0.03,0.03,0.00,0.02,0.02,0.02,0.01,0.00,0.01,0.03,0.03",20,,
us,cheap ladies rolex watches,luxury watch,,,,rolex watches,90,22,0.39,1.00,157,Transactional,"Local Pack, Site Links, Video, People Also Ask, Related Searches","1.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00",20,,
us,cheapest ladies rolex,luxury watch,,,,rolex watches,50,16,0.35,1.00,1960000,"Informational, Commercial","Video, Image, People Also Ask, Related Searches, Discussions And Forums, Site Links, Video Carousel, Popular Products, AI Overview","0.35,0.04,0.08,0.14,0.04,0.22,0.08,0.22,0.14,0.22,0.18,0.22",20,,
us,cheapest rolex watch for sale,luxury watch,,,,rolex watches,70,22,0.48,1.00,158,Transactional,"Site Links, Video, Image, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview","0.10,0.10,0.03,0.07,0.07,0.04,0.03,0.12,0.10,0.10,0.19,0.23",20,,
us,gold and silver rolex watch,luxury watch,,,,rolex watches,40,26,1.85,1.00,212,"Informational, Transactional","Image, Video Carousel, Popular Products, Related Searches, Image Pack, Site Links, Video","0.35,0.07,1.00,0.07,0.50,0.78,0.21,0.28,0.00,0.07,0.00,0.07",20,,
us,men's cheapest rolex watch,luxury watch,,,,rolex watches,40,26,0.25,1.00,165,Transactional,"People Also Ask, Related Searches, AI Overview, Site Links, Video, Video Carousel","0.45,1.00,0.36,0.45,0.36,0.18,0.09,0.18,0.18,0.18,0.18,0.18",20,,
us,men's silver rolex,luxury watch,,,,rolex watches,90,17,1.85,1.00,174,"Informational, Transactional","Related Searches, Image Pack, Site Links, Video, Image, People Also Ask, Popular Products","0.17,0.17,0.23,0.17,0.17,0.17,0.05,0.17,0.17,1.00,0.17,0.12",20,,
us,mens gold rolex watch for sale,luxury watch,,,,rolex watches,50,26,0.32,1.00,23100000,Transactional,"Related Searches, Site Links, Video, Image, Popular Products","0.64,1.00,0.00,0.00,0.07,0.14,0.35,0.14,0.64,0.28,0.28,0.35",20,,
us,rolex gold mens watch,luxury watch,,,,rolex watches,40,22,1.46,1.00,13900000,Transactional,"Video Carousel, People Also Ask, Popular Products, Related Searches, Site Links, Video, Image","0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02",20,,
us,rolex mens gold watches,luxury watch,,,,rolex watches,50,28,1.84,1.00,171,Transactional,"Site Links, Video, Image, People Also Ask, AI Overview, Image Pack","0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.02,0.00",20,,
us,rolex watches for men gold,luxury watch,,,,rolex watches,40,23,1.25,0.54,183,Transactional,"Popular Products, Related Searches, Site Links, Video, Image, Adwords Bottom, Video Carousel, People Also Ask","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
us,rolex.women,luxury watch,,,,rolex watches,40,20,1.94,1.00,169,"Informational, Transactional","Video Carousel, People Also Ask, Short Videos, Site Links, Video","0.33,0.44,0.77,1.00,0.11,0.22,0.33,0.77,0.00,0.11,0.33,0.11",20,,
us,silver rolex watch mens,luxury watch,,,,rolex watches,50,26,1.46,1.00,187,Transactional,"Popular Products, Related Searches, Image Pack, Site Links, Video, Image, People Also Ask","0.23,0.33,0.04,0.00,0.00,0.80,0.00,0.33,0.23,0.00,0.23,0.00",20,,
us,all gold rolex mens,luxury watch,,,,rolex watches,90,19,1.85,1.00,177,Transactional,"Related Searches, Site Links, Video, Video Carousel, People Also Ask","0.53,0.53,0.42,0.42,0.42,0.26,0.34,0.34,0.26,0.19,0.26,0.26",20,,
us,big rolex watch,luxury watch,,,,rolex watches,50,17,1.86,1.00,172,"Informational, Commercial","Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack","0.63,0.81,0.63,0.63,0.63,0.63,0.45,0.45,0.63,0.27,0.18,0.18",20,,
us,buying a preowned rolex,luxury watch,,,,rolex watches,90,27,1.41,1.00,197,Transactional,"Site Links, Video, Image, People Also Ask, Popular Products, Related Searches, AI Overview","0.02,0.00,0.18,0.29,0.66,1.00,0.06,0.04,0.04,0.04,0.04,0.04",20,,
